"ELEV_MAX","ELEV_MEAN","ELEV_STD","SLOPE_MAX","SLOPE_MEAN","SLOPE_STD","TCI_MEAN","TCI_STD","SURFratio_MEAN","SURFratio_STD","TA","NP","PD","LPI","ED","FRAC_AM","FRAC_SD","PARA_AM","PARA_SD","IJI","COHESION","PR","PRD","SIEI","PLADJ","ENN_AM","ENN_SD","eucalipto_AREA_perc","flnatural_AREA_perc","matosa_AREA_perc","matosb_AREA_perc","outfolhosas_AREA_perc","pinheiro_AREA_perc","urbano_AREA_perc","DensRoadAll","DensRoad6Less","DensRoad6Plus","RoadAreaPerc","Area_06","PopRes91","PopRes01","PopResTrab91","PopResTrab01","PopAct91","PopAct01","PopResQualSec91","Analf91","Analf01","PropPopRes3C01","DensPop91","DensPop01","PropIdosos91","PropIdosos01","IDepIdosos91","IDepIdosos01","PropPopResTrab91","PropPopResTrab01","PropPopResSubTmp91","PropPopResSubTmp01","PropPopResPensRef91","PropPopResPensRef01","bio2","bio1","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","TotalBurntArea"
941,816.694,98.5964,34.7621,10.6997,5.82146,3.65768,1.6491,1.01035,0.0101486,1309.86,169,12.9021,28.3969,127.3953,1.1869,0.0487,271.1129,800.0509,64.8727,98.8086,28,2.1376,1.037,93.2222,174.7066,391.2247,0,9.27950976,6.810251318,10.04297037,10.75619329,11.56684688,1.74537904,750.4240497,542.0629073,208.3611424,0.492941715,1310.46,543,419,162,118,175,118,18,113,87,10,41.5,32,20.4,29.6,67.6,67.6,29.8,28.2,1.1,3.1,22.7,34.6,97.7,113.75,38.1,5422.45,261.9,8.05,253.85,47.75,185.5,185.5,47.75,1152.85,162.05,18.2,50.95,458.8,90.2,90.2,458.8,945
239,68.439,37.1759,34.9343,8.01429,5.80753,4.12979,1.83309,1.00719,0.00957948,326.43,60,18.3807,12.3518,124.6209,1.127,0.053,286.9834,1138.5145,72.8797,97.2095,13,3.9825,1.0833,92.8254,276.3927,375.0145,0.947651198,0,0,2.120788533,0,30.16638861,11.54245253,1397.02361,701.1604449,695.8631654,0.98212734,326.73,1226,1330,572,660,545,680,87,90,80,17.3,374.9,406.7,8.2,10.8,60.1,45,46.7,49.6,1.1,1.4,13.7,13.3,86,145.333,43,3974.33,253,55.667,197.333,102,194.833,196.333,95.167,1224.33,164.667,14.833,51.333,485.167,82,102.667,484,13
316,152.042,69.4441,43.941,9.11347,6.47005,4.08441,2.13554,1.00881,0.0104041,6265.75,217,3.4633,14.2971,63.4369,1.1607,0.0566,133.6919,855.7448,63.9548,99.2247,24,0.383,1.0435,96.6577,357.4445,998.9603,0,0.04240827,10.35254168,0.402957981,0,0.222206628,2.865020126,860.0705792,458.7403439,401.3302353,0.782001279,6269.62,5292,6734,1878,2890,1941,3063,743,680,519,31,84.4,107.4,23.3,20.6,63.5,54.6,35.5,42.9,1.5,1.1,23.2,21.8,93.75,165.348,42.391,4284.93,288.043,69.652,218.391,123.174,219.674,223.891,114.413,534.467,90.141,1,68.707,255.533,17.315,19.685,241.25,0
629,421.864,81.7971,34.6252,8.23183,8.20933,5.01388,2.84241,1.00855,0.0133685,867.08,73,8.4191,30.0307,82.0916,1.1498,0.0524,182.7974,1086.7176,62.3083,98.7583,19,2.1913,1.0556,95.4301,160.3971,792.2631,0,0,3.432049032,9.280564221,0.082810835,17.20395088,3.251475406,771.5108164,237.7775294,533.733287,0.571104439,867.37,616,632,142,201,153,237,40,106,69,19.8,71,72.9,14.8,19,55.6,41.7,23.1,31.8,1.1,0.6,23.1,25.9,103.938,133.5,39,5511,283.5,20.75,262.75,66.625,205.5,205.5,65,933.438,125.563,14.688,48.938,363.063,73.5,73.5,363.063,174
258,124.327,35.3024,26.5971,9.54836,5.25435,4.04956,2.55649,1.01086,0.00905437,1563.71,301,19.2491,5.0252,147.1373,1.1601,0.0489,310.9784,614.2718,70.4599,97.5103,21,1.343,1.05,92.2255,147.6682,397.5332,25.64507386,0,6.245008556,7.270887878,3.499572205,32.02118114,2.215950249,1110.09362,570.2914466,539.8021732,0.776153767,1564.85,1078,1112,362,447,397,497,74,102,85,21.9,68.9,71.1,22.9,21.4,64.1,59.5,33.6,40.2,1,1.3,28.4,26,103.083,159.5,42.042,4608.08,297.333,56.125,241.208,100.708,217.083,219.208,100.708,945.625,133.375,9.667,53.083,380.333,63.292,65.917,380.333,6107
432,314.634,41.0967,26.0846,8.03371,3.77537,3.87281,1.82956,1.00656,0.00530903,3236.33,314,9.7023,10.5984,82.1795,1.1415,0.0631,181.8418,1371.0739,70.564,98.4877,26,0.8034,1.04,95.454,239.2605,578.1689,6.703166567,60.96633942,4.113362674,1.983640317,0,1.508489265,0.198979114,322.0951503,190.1563799,131.9387704,0.220143099,3238.56,393,376,146,142,183,164,14,98,82,10.6,12.2,11.6,23.9,31.1,63.8,87.1,37.2,37.8,6.9,5.1,32.6,34.8,97.776,157.469,40.51,4891.98,300.592,61.571,239.02,99.306,223,224.224,99.306,658.327,93.041,4.02,57.674,272.286,35.02,35.02,272.286,1195
368,259.708,38.3597,38.8527,8.42857,6.14543,3.91804,2.01576,1.01039,0.0117736,2400.95,379,15.7854,6.4604,138.6118,1.1795,0.0599,290.9348,894.9269,64.3121,98.1402,20,0.833,1.0526,92.7266,172.9875,489.2594,12.34746416,0,8.846099213,8.328960508,0.507185755,41.95583223,1.927139986,666.1106011,248.1384518,417.9721493,0.66935879,2402.42,1080,984,393,308,400,342,44,132,105,15.7,45,41,27.4,27.7,84.6,73.9,36.4,31.3,0.3,1.7,35.8,31.4,100.947,153,40.342,4938.24,294.921,48.421,246.5,91.105,216.079,217.711,91.105,1009.08,145.632,9.895,53.947,407.158,66.053,68.29,407.158,2047
270,214.5,20.4405,18.8232,8.50838,4.29702,4.02484,2.18127,1.0091,0.00734211,213.62,64,29.9597,23.804,136.3168,1.1388,0.0505,319.8202,1121.8908,73.1624,97.319,11,5.1493,1.1,92.0045,121.8424,175.4358,4.272651867,0,0,1.705333243,0,25.56136112,8.699063289,591.7400161,47.3077812,544.4322349,0.469878895,213.77,939,1081,434,514,437,546,55,60,63,17,438.8,505.1,8.1,8.7,57.8,41.5,46.2,47.5,1.4,2.5,9.7,11.7,97,142.667,43,4451,266.333,42,224.333,93.333,198.667,200,86,1190,162.667,14,51.667,476.333,80.333,95.667,465.333,21
231,117.348,41.8777,26.1737,9.71474,5.07489,3.71696,2.11458,1.00992,0.00696184,1181.57,351,29.7062,12.1863,157.5446,1.1509,0.0517,335.9598,797.6821,72.008,97.2298,27,2.2851,1.0385,91.601,143.7248,308.194,7.308670369,0,2.654945176,1.574796378,1.317377739,27.34021489,9.707038144,905.6309944,889.0553362,16.57565815,0.566567678,1182.38,2306,3123,1066,1498,1086,1600,337,193,217,30.4,196.1,265.6,9.8,12,45.7,42.3,46.2,48,0.8,1.9,13.2,15.5,79.056,155.167,41.944,3691.11,256.889,70.667,186.222,115.389,199.944,202.5,107.5,814.056,119.444,6.333,57.667,340.611,44.611,49.611,333.278,58
779,496.358,127.521,60.7479,30.119,12.7605,2.70493,2.21662,1.06918,0.0407581,904.82,76,8.3995,21.6618,86.0392,1.1555,0.064,195.2211,1329.4667,74.0446,98.6797,18,1.9893,1.0588,95.1195,267.1091,486.8628,0,17.92800807,7.431310083,25.42533512,5.934925464,18.06114229,1.472178397,459.569021,406.2074206,53.36160035,0.287645912,905.37,481,448,176,126,179,155,19,74,65,14.7,53.1,49.5,18.5,23.7,60.9,70.3,36.6,28.1,0.6,5.6,27.4,28.1,92.357,128.143,40.429,4641.43,256.071,30.714,225.357,77.571,188.143,188.714,70.571,1347,186.571,20.929,49.929,530,104.571,116.071,527.143,1018
